face_match_confidence,liveness_score,tamper_risk_score,doc_auth_score,identity_consistency,fraud_pattern_risk,is_verified
87,72,0,62,56,25,1
59,79,67,57,55,38,0
95,52,11,89,99,57,1
47,73,59,93,70,18,0
46,67,26,53,90,57,0
42,52,55,89,48,27,0
56,74,22,54,70,65,0
72,81,24,54,53,9,1
87,79,20,45,88,57,1
51,37,60,66,76,13,0
98,30,62,54,41,14,0
90,37,51,89,91,32,0
61,58,24,75,87,16,0
94,34,54,94,85,23,1
61,76,45,47,53,29,0
85,63,31,54,98,61,0
69,94,54,42,72,12,0
77,84,4,86,74,61,1
77,72,35,52,97,46,0
84,59,48,80,78,15,1
90,46,57,73,97,65,0
93,55,38,63,86,42,0
47,37,79,79,90,7,0
66,76,60,71,59,2,0
66,75,8,71,41,11,0
73,97,5,69,90,15,1
60,62,34,91,80,58,0
69,30,38,88,58,48,0
72,48,21,52,98,62,0
67,60,40,40,76,61,0
86,43,4,73,57,48,0
72,82,41,54,55,50,0
44,77,75,83,43,32,0
99,98,79,53,51,29,0
87,91,66,96,68,58,1
58,95,29,68,46,14,0
43,93,56,73,53,22,0
74,99,72,57,94,44,0
88,92,28,93,51,61,1
56,62,36,46,74,14,0
83,70,12,68,44,45,1
67,77,31,94,56,63,0
69,42,45,70,97,45,0
68,60,22,64,81,55,0
85,97,44,77,71,43,1
92,33,16,53,49,28,0
45,48,65,47,82,61,0
74,99,5,66,56,51,1
99,42,17,93,44,53,1
80,52,21,41,84,56,0
76,30,32,56,81,65,0
63,83,29,76,48,21,1
68,44,31,53,88,19,0
88,94,41,64,72,32,0
85,44,77,95,75,24,1
92,50,9,69,75,45,0
70,48,35,68,57,56,0
74,89,33,59,48,4,0
99,62,72,60,96,54,0
72,78,27,92,68,60,1
91,64,10,61,89,7,1
60,73,77,74,53,15,0
71,40,38,76,64,47,0
62,95,46,55,54,60,0
72,75,18,89,45,14,1
42,38,14,97,95,64,0
57,32,27,88,81,21,1
64,55,23,82,68,2,0
81,77,71,56,54,53,0
70,95,8,55,68,13,0
93,99,46,97,43,35,1
97,57,32,94,57,66,0
42,55,61,41,89,9,0
79,54,18,43,96,48,0
85,41,66,60,88,64,0
63,34,73,78,83,56,0
89,77,39,73,78,26,0
71,66,46,69,55,4,0
86,73,64,45,50,56,0
61,44,28,56,53,14,0
62,72,49,78,42,29,0
41,77,12,64,90,19,1
66,99,0,44,89,36,0
81,75,33,44,81,2,1
41,72,47,59,77,40,0
65,50,76,55,84,38,0
56,52,47,90,81,25,0
79,76,48,80,57,1,1
72,44,63,76,97,22,1
48,54,60,79,59,22,0
82,65,28,48,97,15,1
93,80,38,44,87,8,1
87,44,25,81,64,12,1
78,97,16,96,96,27,1
68,50,70,41,77,26,0
81,42,12,48,52,50,0
94,48,68,82,43,63,0
65,63,25,75,94,51,0
74,97,48,61,53,37,0
89,81,66,61,72,64,0
64,56,6,61,67,17,0
63,58,57,73,91,62,0
52,57,48,94,76,50,0
99,64,52,68,47,8,0
97,37,64,77,83,12,1
46,45,61,98,73,39,0
96,65,16,85,83,54,1
75,59,42,72,44,42,0
84,47,24,57,93,43,0
59,31,2,46,44,67,0
40,78,78,40,70,32,0
47,33,28,72,84,23,0
85,36,31,40,48,35,0
55,68,25,63,81,9,1
53,42,15,43,71,19,0
51,60,24,43,72,11,0
90,92,53,57,42,61,0
62,85,27,66,69,17,0
54,71,72,82,89,62,0
67,90,55,98,51,24,0
73,71,64,71,68,11,0
41,85,79,72,42,20,0
71,65,40,67,65,24,0
62,97,50,81,96,10,1
61,36,70,80,69,63,0
90,83,77,94,48,49,1
64,30,28,75,65,61,0
97,73,18,99,41,48,1
61,74,65,45,42,13,0
97,76,40,55,85,0,1
97,42,44,73,43,24,0
61,51,14,62,64,58,0
88,50,2,89,90,68,1
91,38,10,81,52,4,1
81,55,52,63,78,18,0
45,38,45,95,83,22,0
54,44,29,88,74,8,1
93,39,56,52,94,49,0
82,71,17,95,62,15,1
99,53,50,57,48,32,0
76,78,47,93,41,1,1
72,55,65,52,93,13,0
47,66,7,88,80,0,1
92,97,21,76,83,57,1
99,79,5,82,70,15,1
83,53,75,78,83,46,0
83,48,56,81,86,43,0
44,89,35,56,41,13,0
78,68,78,54,71,23,1
43,47,56,57,57,54,0
45,48,48,62,52,14,0
84,65,44,93,85,33,1
71,84,65,90,44,1,1
91,98,76,69,97,26,0
69,76,44,97,81,22,1
86,78,78,73,83,67,0
74,62,19,97,49,13,1
94,50,63,43,95,62,0
79,51,66,42,82,64,0
91,77,2,46,64,67,1
55,66,53,95,73,62,0
52,44,77,57,76,63,0
89,64,63,81,69,31,1
99,61,39,46,46,12,0
81,40,58,79,45,65,0
69,39,54,45,93,18,0
58,86,61,61,94,23,0
56,54,3,97,42,10,0
95,31,59,40,52,58,0
58,93,74,43,42,14,0
67,64,29,85,65,9,1
97,36,1,88,96,40,1
94,47,61,91,63,26,0
65,96,48,89,92,59,0
76,71,8,82,45,51,1
65,68,30,68,82,27,0
92,70,60,60,99,64,0
62,53,78,65,97,16,0
48,89,47,53,88,43,0
51,75,24,48,81,9,1
92,48,35,98,51,62,0
40,97,7,86,88,46,1
97,71,72,51,75,37,0
97,61,57,81,41,69,1
40,68,44,90,50,52,0
86,65,61,95,78,43,1
73,65,38,90,73,53,1
71,32,57,45,65,19,0
93,37,63,59,57,30,0
87,99,43,63,60,6,0
64,70,28,66,75,57,0
79,97,58,77,79,9,1
84,42,70,47,91,9,0
92,78,8,40,85,38,1
40,89,5,93,83,27,1
55,31,28,88,61,29,0
78,89,57,88,92,36,1
44,34,16,63,98,66,0
61,73,15,86,69,42,1
68,56,2,46,89,51,0
94,61,20,58,82,55,1
42,50,63,61,99,67,0
51,37,35,96,69,8,0
65,79,61,94,47,22,0
55,96,41,99,73,62,0
90,73,75,74,96,60,0
76,87,41,69,86,39,0
61,32,60,68,48,43,0
96,99,12,61,90,23,1
68,31,10,50,59,50,0
53,73,53,59,79,57,0
67,31,15,68,64,32,0
44,64,7,90,58,15,1
86,59,58,80,44,21,0
88,37,56,81,50,56,0
69,51,39,73,54,61,0
85,73,58,40,47,69,0
91,87,1,70,58,29,1
44,65,75,69,62,22,0
51,98,9,87,66,31,1
55,60,43,57,79,56,0
65,76,10,94,71,8,1
65,84,78,97,65,30,0
87,91,79,56,66,8,0
60,59,1,77,58,12,0
78,84,49,53,89,57,0
75,45,11,62,81,2,1
72,41,22,64,68,34,0
69,46,17,54,78,20,0
76,45,61,85,99,63,0
62,41,61,95,80,51,0
97,37,37,61,72,33,0
49,32,66,42,58,34,0
93,45,37,95,76,14,1
44,59,66,94,58,5,0
75,52,60,58,72,31,0
73,34,0,96,86,51,1
91,94,44,83,55,27,1
70,59,27,73,62,63,0
49,50,20,74,46,18,0
97,99,12,89,65,14,1
58,51,26,40,71,5,0
97,61,6,91,51,37,1
71,62,21,60,47,25,1
40,45,73,68,44,50,0
95,67,52,45,81,52,0
44,43,78,76,67,55,0
84,65,78,40,92,58,0
43,52,3,90,44,69,0
55,95,22,40,88,57,0
63,31,69,66,65,12,0
55,94,75,60,44,42,0
94,96,32,92,61,50,1
41,81,27,55,54,18,0
88,91,7,83,52,20,1
67,52,0,98,67,23,0
71,55,36,93,72,25,0
66,97,62,79,82,44,0
59,84,21,65,62,27,0
63,35,69,55,72,28,0
51,64,20,67,82,16,1
89,51,34,40,57,67,0
74,72,78,75,89,43,0
99,44,4,49,92,60,0
72,89,59,82,69,67,1
72,41,45,56,65,24,0
90,78,49,96,55,66,1
82,71,47,98,52,1,1
76,67,5,62,78,48,1
51,74,55,46,72,69,0
42,64,58,83,65,25,0
40,59,28,92,87,26,0
72,59,70,46,40,17,0
79,35,76,83,88,53,0
49,96,17,54,77,0,1
82,36,1,73,41,60,0
83,81,7,85,88,2,1
68,43,74,84,45,67,0
52,44,53,43,85,40,0
51,50,37,53,89,36,0
70,64,47,53,77,50,0
85,95,26,55,81,14,1
41,31,19,46,63,7,0
90,64,11,71,57,37,1
89,49,42,58,66,55,0
74,39,60,41,80,46,0
62,54,30,49,47,9,0
56,95,60,89,67,48,0
65,54,73,56,49,40,0
47,83,66,76,56,29,0
68,62,34,51,94,4,0
65,65,14,45,68,30,0
49,43,15,61,97,51,0
65,94,12,71,45,22,0
73,83,34,80,53,47,1
90,81,74,59,61,39,0
80,32,58,40,93,5,0
46,70,20,93,45,37,1
43,35,53,86,65,40,0
97,54,74,92,78,26,0
92,42,29,97,51,68,1
89,37,47,45,74,56,0
84,50,34,58,53,16,0
50,97,37,57,61,46,0
68,54,30,45,90,12,0
95,97,77,84,62,10,1
75,74,23,72,87,23,1
64,89,48,62,46,3,0
60,41,31,62,79,45,0
96,61,54,65,89,17,1
75,42,78,52,64,42,0
49,60,57,46,52,32,0
76,49,2,54,60,9,0
48,47,79,83,80,58,0
63,89,68,66,49,30,0
74,92,9,65,92,27,1
88,35,24,72,94,59,0
74,61,67,54,98,2,1
87,72,60,75,48,54,0
75,31,28,84,54,13,1
57,89,18,94,91,57,1
88,52,42,66,41,14,0
78,60,65,96,64,1,0
71,34,73,44,52,23,0
63,63,60,41,73,63,0
62,39,42,94,90,23,0
71,31,24,97,97,26,1
76,40,19,72,73,36,0
51,79,47,55,74,38,0
88,60,23,62,77,62,0
94,85,10,77,42,25,1
52,38,54,94,81,64,0
62,50,27,55,95,3,0
64,57,68,53,98,28,0
74,91,62,68,45,0,0
80,36,58,65,94,49,0
69,45,4,74,87,10,0
56,33,50,54,88,58,0
88,33,20,42,58,61,0
59,69,11,62,42,35,0
87,46,49,68,57,55,0
64,81,3,73,78,20,1
61,81,41,72,48,12,0
52,65,37,80,91,8,1
98,67,24,80,51,10,1
58,79,13,62,44,69,0
88,92,74,46,42,0,0
75,92,31,42,50,69,0
51,91,10,97,96,55,1
80,36,60,71,69,30,0
58,56,17,70,43,36,0
51,43,26,57,44,46,0
48,34,54,82,40,46,0
46,84,53,46,66,68,0
67,31,74,80,67,57,0
53,91,20,40,68,35,0
70,50,43,53,57,31,0
91,50,4,91,51,63,1
58,39,40,71,52,41,0
97,87,58,45,80,47,0
86,68,53,78,41,29,1
55,34,73,49,76,20,0
92,94,21,46,84,59,1
44,42,64,65,55,12,0
74,82,63,73,87,0,1
51,74,70,69,63,64,0
64,61,3,75,74,32,0
91,65,64,60,61,37,0
98,89,14,99,75,24,1
60,40,75,56,50,25,0
75,92,21,72,94,58,1
92,50,46,49,97,32,0
62,81,45,90,85,40,0
55,84,13,86,68,29,1
96,55,49,81,74,56,0
78,97,19,90,87,48,1
84,63,49,51,93,47,0
92,81,32,95,54,48,1
81,81,58,55,99,46,0
97,58,42,80,70,55,0
78,67,78,71,81,64,0
53,71,11,54,80,11,1
70,50,39,66,82,68,0
97,71,19,67,55,5,1
44,42,37,56,49,64,0
74,93,2,85,88,24,1
62,46,27,98,71,0,1
68,38,55,89,90,31,0
82,70,12,97,41,2,1
50,30,76,41,63,48,0
57,31,65,75,62,18,0
86,89,36,89,41,59,1
51,77,48,46,77,28,0
48,58,65,52,70,49,0
49,39,35,54,90,1,0
97,87,53,64,79,55,0
83,89,25,62,65,16,1
56,50,74,99,68,59,0
77,57,71,61,42,35,0
46,63,39,65,97,60,0
85,37,42,72,53,16,0
52,88,21,50,64,48,0
79,78,19,49,87,59,1
81,46,7,64,40,19,0
48,89,28,76,92,49,1
89,74,39,87,42,2,1
66,98,29,82,93,42,1
97,61,54,92,65,56,1
41,73,15,77,57,49,1
44,94,45,80,48,67,0
68,37,61,84,77,49,0
76,72,6,63,62,36,1
77,30,79,79,60,45,0
58,80,44,85,96,41,0
47,53,58,95,40,14,0
87,53,55,72,60,32,0
84,46,47,56,66,10,0
40,34,26,63,81,19,0
61,49,52,76,98,23,0
91,50,72,96,45,63,0
56,87,34,41,94,64,0
46,60,50,71,83,16,0
64,40,36,96,75,60,0
84,81,56,99,67,14,1
43,44,7,63,84,50,0
75,36,78,48,56,26,0
45,57,19,43,98,60,0
99,80,52,56,79,57,0
70,87,11,56,97,30,0
58,34,48,92,91,11,0
83,34,16,89,42,45,1
93,37,63,87,51,30,0
78,93,41,69,78,31,0
66,39,28,79,51,31,0
49,67,18,97,41,52,1
65,37,10,50,95,60,0
58,54,49,60,85,45,0
78,95,70,60,61,6,0
42,79,57,57,62,3,0
84,96,33,94,69,51,1
52,78,19,68,44,30,0
89,65,49,63,48,35,0
67,97,9,49,60,53,0
97,70,31,84,50,53,1
59,91,51,56,44,16,0
67,39,14,57,74,29,0
47,50,2,81,66,21,0
80,65,36,87,88,42,1
78,41,39,59,41,26,0
40,31,71,76,63,36,0
42,42,39,84,70,45,0
52,82,55,57,72,34,0
67,61,22,56,78,3,1
96,45,10,48,69,25,0
99,61,63,53,85,18,1
88,61,7,88,76,44,1
64,40,55,68,90,25,0
95,39,59,70,67,21,0
72,44,9,43,99,57,0
77,46,38,57,70,62,0
92,69,27,98,50,27,1
45,47,48,59,62,64,0
97,84,35,95,96,43,1
83,54,12,95,41,42,1
84,88,35,86,79,36,1
71,51,25,82,80,65,1
84,59,3,83,66,16,1
86,73,63,48,74,39,0
60,61,37,52,41,37,0
55,80,21,54,78,60,0
93,75,1,66,76,8,1
60,50,30,54,60,60,0
50,61,10,67,97,15,1
99,68,45,76,44,1,1
76,41,61,94,91,42,0
75,76,68,58,84,41,0
74,47,63,65,60,56,0
58,50,9,91,68,66,0
59,42,39,65,59,29,0
96,50,23,64,77,12,1
57,37,43,65,59,18,0
86,75,59,65,89,6,1
80,36,61,85,64,8,0
88,52,16,67,41,53,0
53,51,64,88,96,60,0
54,51,56,57,71,1,0
70,58,54,71,65,49,0
40,42,52,92,45,30,0
92,31,55,42,80,32,0
93,58,8,41,96,10,1
93,81,21,72,42,32,1
42,56,12,81,72,6,1
55,79,47,58,40,30,0
62,52,17,56,90,47,0
96,73,75,83,44,46,1
50,51,39,72,52,52,0
51,72,16,51,58,18,0
49,66,14,88,51,5,1
71,90,14,95,87,48,1
55,85,78,42,64,49,0
47,32,62,82,96,11,0
77,92,38,88,90,22,1
51,48,12,94,74,53,0
63,52,31,65,51,68,0
67,58,8,74,69,58,0
92,59,39,47,44,35,0
47,68,19,91,73,2,1
97,54,76,75,61,57,0
67,37,79,92,78,54,0
75,87,72,93,52,56,1
65,45,62,46,96,16,0
47,30,75,85,86,38,0
97,34,43,85,93,67,0
99,32,37,75,42,54,0
89,94,59,55,99,44,0
67,33,70,63,92,0,0
67,93,47,93,59,20,0
76,39,17,40,70,20,0
80,50,15,88,44,51,1
75,75,54,64,63,42,0
66,56,38,49,79,51,0
93,95,67,93,93,66,1
56,70,58,55,72,43,0
48,42,61,55,47,31,0
72,38,12,97,63,9,1
92,65,5,47,89,63,1
59,87,76,68,59,68,0
52,83,59,78,99,67,0
67,41,13,67,55,27,0
87,43,53,45,89,52,0
68,63,3,55,91,50,0
52,82,38,59,51,52,0
85,49,71,55,52,3,0
74,45,24,46,84,16,1
45,99,76,80,81,66,0
57,85,31,53,78,46,0
90,87,58,82,64,55,1
44,33,62,65,85,22,0
86,33,37,65,71,17,0
64,49,52,53,63,0,0
41,39,66,46,87,34,0
49,53,27,72,86,63,0
95,55,2,65,83,57,0
69,66,79,96,48,58,0
89,83,21,84,79,0,1
98,50,37,59,89,2,0
84,67,71,42,62,66,0
44,75,71,91,89,36,0
94,33,61,43,52,28,0
95,89,56,65,99,32,0
72,86,5,50,98,60,1
93,74,77,41,71,3,1
40,49,31,53,89,13,0
57,46,9,83,54,32,0
71,33,2,69,75,21,1
86,43,58,88,88,47,0
88,32,75,51,44,2,0
50,87,48,65,61,22,0
60,84,58,83,55,67,0
65,33,30,72,80,20,0
64,53,68,52,49,42,0
61,63,61,53,63,25,0
98,59,51,63,57,40,0
66,48,40,73,88,37,0
88,60,30,83,57,10,0
52,89,21,65,46,28,0
72,89,3,60,43,59,1
73,48,12,67,65,66,0
80,78,44,87,44,64,1
74,92,41,75,99,60,0
40,51,48,79,94,18,0
60,53,19,41,55,45,0
87,59,76,81,74,48,0
94,87,53,48,65,21,0
45,60,35,62,57,56,0
67,93,0,54,68,13,0
56,48,14,52,62,43,0
44,77,76,62,92,15,0
70,74,16,56,53,11,0
44,84,23,87,54,54,1
77,84,57,99,88,50,1
42,47,71,41,72,38,0
92,92,22,59,64,32,1
62,76,45,59,60,32,0
76,86,71,98,56,28,1
92,74,7,85,62,68,1
76,62,58,42,96,69,0
49,46,58,94,82,30,0
49,99,12,51,56,30,0
58,33,38,79,97,45,0
56,49,27,41,53,51,0
60,76,60,75,68,9,0
53,44,15,53,59,40,0
48,99,1,55,69,2,0
85,76,16,58,58,58,1
40,38,29,73,92,51,0
